30-12-2014 19:17 - [server_room]   Humidity:42.35,          Temperature:17.20;
30-12-2014 19:17 - [garden]   Humidity:23.05,          Temperature:23.92;
30-12-2014 19:18 - [server_room]   Humidity:42.34,          Temperature:17.12;
30-12-2014 19:18 - [garden]   Humidity:23.05,          Temperature:23.92;
30-12-2014 19:18 - [server_room]   Humidity:42.34,          Temperature:17.12;
30-12-2014 19:18 - [garden]   Humidity:23.05,          Temperature:23.92;
30-12-2014 19:19 - [server_room]   Humidity:42.85,          Temperature:16.96;
30-12-2014 19:19 - [garden]   Humidity:23.05,          Temperature:23.96;
30-12-2014 19:19 - [server_room]   Humidity:42.85,          Temperature:16.96;
30-12-2014 19:19 - [garden]   Humidity:23.05,          Temperature:23.92;
30-12-2014 19:21 - [server_room]   Humidity:42.85,          Temperature:16.96;
30-12-2014 19:21 - [garden]   Humidity:23.05,          Temperature:23.92;
30-12-2014 19:21 - [server_room]   Humidity:42.84,          Temperature:16.88;
30-12-2014 19:21 - [garden]   Humidity:23.05,          Temperature:23.92;
30-12-2014 19:22 - [server_room]   Humidity:42.84,          Temperature:16.80;
30-12-2014 19:22 - [garden]   Humidity:23.05,          Temperature:23.88;
30-12-2014 19:22 - [server_room]   Humidity:42.83,          Temperature:16.88;
30-12-2014 19:22 - [garden]   Humidity:23.05,          Temperature:23.88;
30-12-2014 19:23 - [server_room]   Humidity:42.84,          Temperature:16.88;
30-12-2014 19:23 - [garden]   Humidity:23.05,          Temperature:23.88;
30-12-2014 19:23 - [server_room]   Humidity:42.84,          Temperature:16.92;
30-12-2014 19:23 - [garden]   Humidity:23.05,          Temperature:23.92;
30-12-2014 19:24 - [server_room]   Humidity:42.34,          Temperature:17.12;
30-12-2014 19:24 - [garden]   Humidity:23.04,          Temperature:23.88;
30-12-2014 19:24 - [server_room]   Humidity:42.34,          Temperature:17.12;
30-12-2014 19:24 - [garden]   Humidity:23.04,          Temperature:23.88;
30-12-2014 19:25 - [server_room]   Humidity:42.35,          Temperature:17.20;
30-12-2014 19:25 - [garden]   Humidity:23.04,          Temperature:23.84;
30-12-2014 19:25 - [server_room]   Humidity:42.35,          Temperature:17.24;
30-12-2014 19:25 - [garden]   Humidity:23.04,          Temperature:23.84;
30-12-2014 19:26 - [server_room]   Humidity:42.35,          Temperature:17.20;
30-12-2014 19:26 - [garden]   Humidity:23.05,          Temperature:23.88;
30-12-2014 19:26 - [server_room]   Humidity:42.35,          Temperature:17.20;
30-12-2014 19:26 - [garden]   Humidity:23.05,          Temperature:23.88;
30-12-2014 19:28 - [server_room]   Humidity:41.83,          Temperature:17.20;
30-12-2014 19:28 - [garden]   Humidity:23.05,          Temperature:23.88;
30-12-2014 19:28 - [server_room]   Humidity:42.35,          Temperature:17.12;
30-12-2014 19:28 - [garden]   Humidity:23.05,          Temperature:23.88;
30-12-2014 19:29 - [server_room]   Humidity:42.34,          Temperature:17.12;
30-12-2014 19:29 - [garden]   Humidity:23.05,          Temperature:23.88;
30-12-2014 19:29 - [server_room]   Humidity:42.34,          Temperature:17.12;
30-12-2014 19:29 - [garden]   Humidity:23.05,          Temperature:23.88;
30-12-2014 19:30 - [server_room]   Humidity:42.34,          Temperature:17.04;
30-12-2014 19:30 - [garden]   Humidity:23.04,          Temperature:23.84;
30-12-2014 19:30 - [server_room]   Humidity:42.33,          Temperature:17.04;
30-12-2014 19:30 - [garden]   Humidity:23.04,          Temperature:23.84;
30-12-2014 19:31 - [server_room]   Humidity:42.33,          Temperature:17.04;
30-12-2014 19:31 - [garden]   Humidity:23.04,          Temperature:23.84;
30-12-2014 19:31 - [server_room]   Humidity:42.33,          Temperature:17.00;
30-12-2014 19:31 - [garden]   Humidity:23.04,          Temperature:23.84;
30-12-2014 19:32 - [server_room]   Humidity:42.33,          Temperature:17.04;
30-12-2014 19:32 - [garden]   Humidity:23.04,          Temperature:23.84;
30-12-2014 19:32 - [server_room]   Humidity:42.33,          Temperature:17.04;
30-12-2014 19:32 - [garden]   Humidity:23.04,          Temperature:23.84;
30-12-2014 19:33 - [server_room]   Humidity:42.34,          Temperature:17.12;
30-12-2014 19:33 - [garden]   Humidity:23.05,          Temperature:23.88;
30-12-2014 19:34 - [server_room]   Humidity:42.35,          Temperature:17.16;
30-12-2014 19:34 - [garden]   Humidity:23.05,          Temperature:23.92;
30-12-2014 19:35 - [server_room]   Humidity:41.84,          Temperature:17.32;
30-12-2014 19:35 - [garden]   Humidity:23.05,          Temperature:23.92;
30-12-2014 19:35 - [server_room]   Humidity:41.84,          Temperature:17.32;
30-12-2014 19:35 - [garden]   Humidity:23.05,          Temperature:23.92;
30-12-2014 19:36 - [server_room]   Humidity:41.85,          Temperature:17.39;
30-12-2014 19:36 - [garden]   Humidity:23.05,          Temperature:23.92;
30-12-2014 19:36 - [server_room]   Humidity:41.85,          Temperature:17.48;
30-12-2014 19:36 - [garden]   Humidity:23.05,          Temperature:23.92;
30-12-2014 19:37 - [server_room]   Humidity:41.34,          Temperature:17.56;
30-12-2014 19:37 - [garden]   Humidity:23.05,          Temperature:24.00;
30-12-2014 19:37 - [server_room]   Humidity:41.34,          Temperature:17.56;
30-12-2014 19:37 - [garden]   Humidity:23.05,          Temperature:24.00;
30-12-2014 19:38 - [server_room]   Humidity:41.35,          Temperature:17.60;
30-12-2014 19:38 - [garden]   Humidity:23.05,          Temperature:24.00;
30-12-2014 19:38 - [server_room]   Humidity:41.35,          Temperature:17.56;
30-12-2014 19:38 - [garden]   Humidity:23.05,          Temperature:24.00;
30-12-2014 19:39 - [server_room]   Humidity:41.34,          Temperature:17.56;
30-12-2014 19:39 - [garden]   Humidity:23.05,          Temperature:24.00;
30-12-2014 19:39 - [server_room]   Humidity:41.34,          Temperature:17.52;
